Cycle,R2_train,R2_test,MAE,max(AE),learn_weight,optimization_weigth,Suggested_Designs,Best_Predicted_Design,bcpy,Score_Improvement,Time (min)
1,0.9720408513150376,0.973499738580296,0.0030316510658669,0.1112904474139213,1,0,1200,PTRCTA2-G6PDH2r-SUCOAS-PTPATi-FE3DCITR-ICL-CBPS,0.2955610281556396,6.106226635438361e-16,10.01122434536616
2,0.9799233945418208,0.8042706228314729,0.0036686305811035,0.2894579341869348,1,0,2400,PTRCTA2-G6PDH2r-SUCOAS-PTPATi-AROH-ICL-R15BPK-ME2-HPYRI-CBPS-TRSARr,0.2955610281556879,4.829470157119432e-14,14.30484782854716
3,0.9862060343958444,0.8915988467001893,0.0034344792710002,0.2862746240571141,0,1,100,G6PDH2r-LTDCL-SSALy-SUCOAS-FALDM-ICL-MEPCT_1-MALS-ALAR,0.2955561113068172,-4.916848870717416e-06,23.4885125319163
4,0.983748838570111,0.8372128694903708,0.005182817741285433,0.27022780291736126,0,1,100,PTRCTA2-HPYRRx-LTDCL-SERAT_copy1-SUCOAS-PHETA1-TALA-ICL-PMANM-ALLTN-ME2-URIH-TRSARr,0.29609689413238505,0.0005358659766971363,25.22894723812739
