Cycle,R2_train,R2_test,MAE,max(AE),learn_weight,optimization_weigth,Suggested_Designs,Best_Predicted_Design,yield,Score_Improvement,Time (min)
1,0.9972821723246578,0.8121880087971747,0.0029749434189887,0.3135638376697898,1,0,1200,G6PDH2r-SSALy-GLYCTO1-AKGDH-ICL-CBMKr-HSK-MEPCT_1-NDPK5-HPYRI-PRAIi_copy1,0.331253168349217,0.0007430148130164,10.416150160630544
2,0.9936562657865596,0.9936742682695876,0.0017960923818969,0.1268425781745463,1,0,2400,G6PDH2r-SSALy-AKGDH-IDPh_1-ICL-CBMKr-HSK-MEPCT_1-NDPK5,0.3312518628758575,-1.305473359414222e-06,13.84595964749654
3,0.993365305512488,0.9488925101939858,0.0018273417549387,0.2771858870983124,0,1,100,PTRCTA2-DHSKDH-VALDHr-DHQTi_copy1-SERAT_copy1-GLNS_copy1-PTPATi-FDH-NDPK3-PPND-PPA-AROH-AKGDH-NDP8-PGI-ICL-PSCVT_copy1-ADK1-MEPCT_1-DHAD1_copy1-MDH,0.3439743664981678,0.0127211981489508,19.820609442392985
4,0.9850566115020342,0.9203244659760255,0.003718068978520078,0.2788347825407982,0,1,100,DMALRED-G6PDH2r-HPYRRx-SSALy-SUCOAS-ILEDHr_1-PTPATi-NDPK3-DHAD1_copy2-PPK-AROH-GLUSy-LLEUDr-TRPS1_copy1-IDPh_1-DLYSOXGAT-ICL-FE3DCITCH-LYSRC-ANHMK-ALLTN-URIH-HPYRI-CSPMDDH-MDH,0.3438595532941858,-0.00011481320398198935,20.695547501246136
