Cycle,R2_train,R2_test,MAE,max(AE),learn_weight,optimization_weigth,Suggested_Designs,Best_Predicted_Design,yield,Score_Improvement,Time (min)
1,0.9934337165500156,0.9819485019034214,0.0004492670375286,0.0673515284675668,1,0,1200,PTRCTA2-DLYSPYRAT-VALDHr-LTDCL-SSALy-GLNS_copy1-AKGDH-PGI-ICL-HDH-FE3DCITCH-PHETHPTOX3-MALS-NDPK5-MAN1PT2,0.3300949550991116,0.1068980378614411,9.785946611563364
2,0.9887562551997672,0.9604726415919635,0.0020318685763371,0.1197212259687419,1,0,2400,PTRCTA2-VALDHr-LTDCL-PDHa-GLNS_copy1-AROH-LLEUDr-AKGDH-PGI-ICL-HDH-FE3DCITCH-PRAIi_copy2-1PPDCRc-OXOADLR-NTD4-PHETHPTOX3-MALS-NDPK5-URIH-PPM,0.3300949550991113,-2.220446049250313e-16,14.151832580566406
3,0.9781566769591682,0.861024646312004,0.0045186596401556,0.2442421987652778,0,1,100,PTRCTA2-VALDHr-G6PDH2r-DHQTi_copy1-HPYRRx-GLUDy-SSALy-SUCOAS-PTPATi-PPK-PPA-GLUSy-FE3DCITR-TALA-URO_c-ICL-AGPOP-PMANM-R15BPK-SERAT_copy2-HSK-MEPCT_1-TRPS1_copy2-HISTD-URIH-ALAR-ADPT-MDH,0.3454713276833763,0.0153763725842647,19.80210239092509
4,0.9754369562694759,0.8125781764355793,0.004767843484020565,0.28476872481405735,0,1,100,PTRCTA2-DLYSPYRAT-G6PDH2r-DHQTi_copy2-RBK-PPA-AKGDH-URO_c-ICL-LYSRC-TRPS3-MEPCT_1-RECOAH7-GLUDxi-ME2-MAN1PT2-HCO3E-PRASCSi_copy2-TRSARr-GLNS_copy2-MDH,0.3696868954229048,0.024215567739528487,27.770410080750782
