ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ACOAD7f APG3PAT161 CS CYTK1 ECOAH26 FACOAE80 HACD26i HACD8i ACACT9 MAN6PI MDH ME2 METGL MMTSAO NDPK6 NFORGLUAH2 ORNCD PGI PGK PHAP2C141d5 PHAP2C142 PHAPC40 PPCK RECOAH24 RHACOAE121d6 SSALy AKGDb_copy2 3OXCOAT,28,0.09560244,3.21619922,0.994741975204817,0.996356955641005
ACOAD7f ACONTb ACSPHAC120 CYSTS DLYSPYRAT FDH HACD26i HACD32i HACD8i HSK MAN6PI MDH NFORGLUAH2 OAADC PGI PGK PGMT PPCK PPK RHACOAE121d6 UREA AKGDb_copy2 ACOAD23f ACOAD24f AGMT 3OADPCOAT 3OXCOAT,27,0.09720118,3.21424041,1.04977847938885,0.980355423847256
ACOAD7f ACONTb ASPCT CYSTS HACD21i HSK ACACT10 MAN6PI MDH NADHPO NFORGLUAH2 PAPSR PGI PGK PHAPC90 PPA PPCK ACALD BDH 3OXCOAT,20,0.10244118,3.20782025,0.877662576709874,1.01731180257242
ACOAD7f ACSPHACP50 CELLS CYTK1 ECOAH26 EDA GLUR GLXCL HACD11i ICDHyr IPDDI MAN6PI MDH ME2 NFORGLUAH2 ORNCD PGI PGK PHAPC70 PPCK SERAT_copy1 AKGDH ALATA_L ALATRS 3OXCOAT,25,0.10955015,3.19911019,0.957368748468167,0.985533862158357
ACONTb ACSPHAC142 CYSTS FDH GLUCYS_copy1 HACD23i HACD8i LPSGTR1_kt MACACI MAN6PI NADTRHD NDPK3 NFORGLUAH2 OIVD2 P5CR PGI PGK PPCK RECOAH6 RHACOAEP60 ACOAD23f ADNK1 3OADPCOAT 3OXCOAT,24,0.11218651,3.19588006,0.670199295797685,1.06493643627311
ACONTb ACSPHACP40 ASPT ECOAH28 FACOAE1829Z12Z FDH GGGABAH GRXR HACD26i HACD32i HPPK MACACI MAN1PT2 MAN6PI NFORGLUAH2 PGI PGK PHAPC40 PTRCTA2 RHACOAEP101 RHACOAEP50 IDPh_1 ACALD ADPT AGMT BPNT 3OXCOAT,27,0.11319162,3.19464858,0.529384154056634,1.10897486038437
ACOAD7f APSR ECOAH6 ENO FDH FUM GDBTALDH GDPMANNDH GLUCYS_copy1 GLXCL GLYO1 HACD22i HACD26i HACD2i HACD6i IPDDI NFORGLUAH2 NTPP1 PGI PGK PHAP2C142 PHAPCP70 PHAPCT40 RECOAH23 RECOAH3 RHACOAE140 RHACOAEP40 AKGDb_copy2 ABUTD 3OXCOAT,30,0.0516564,3.19380382,1.12524250785072,1.03815315096163
ACONTb FDH GALUi GRXR HACD1i HACD23i HACD26i HACD32i HIBDkt ACACT8 LPSGTR1_kt MACACI MAK MAN1PT2 MAN6PI NFORGLUAH2 NTPP4 PCADYOX PGI PGK PHADPCP50 RECOAH22 RHACOAE121 RHACOAE141 UREA ACOAD23f 3OADPCOAT 3OXCOAT,28,0.11742979,3.18945589,0.535288447675841,1.10161635827211
ACSPHAC90 ACSPHACP50 CYSS ECOAH6 ENO GART GDBTALDH GNK HSK ICDHyr MALS MAN6PI MDH NFORGLUAH2 PGI PGK PHAPC40 PHAPCP100 PPCK PPK PROD2 QUIDH SUCOAS ALATA_L 3OXCOAT,25,0.11956585,3.18683875,0.998443786415603,0.960222790601665
ACSPHAC50 GLUR GLYALDDr GLYO1 GTHS GTPDPK HACD26i MACACI MALS MAN6PI NFORGLUAH2 PCADYOX PGI PGK PGM PPCK RHACOAE90 SUCOAS G5SD_copy2 AKGDb_copy2 ALATA_L HBCE 3OXCOAT,23,0.12230995,3.18347661,0.634722032017837,1.06284152966372
ACOAD7f ASPCT DLMETR ECOAH7 HMR_0180_copy1 FDH GLXCL GUAPRT HACD23i ICDHyr MAN6PI MDH ME2 METGL NFORGLUAH2 ORNCD PGI PGK PHADPCP50 PHAP2C142 PPCK PPK RHACOAE121 ACALD ACOAD22f ALATRS DUTPDP 3OADPCOAT 3OXCOAT,29,0.1239303,3.18149132,1.01353985149329,0.949969885546416
CS DLYSAD FACOAE1829Z12Z GUAPRT HACD22i HACD32i HACD6i IPDDI ACACT8 ACACT13 MACACI MAN6PI ME2 MLTGY4pp NFORGLUAH2 PGI PGK PPK PTRCTA PUTA3 PYK ABTA ALATA_L DAAD2 ECOAH2 3OXCOAT,26,0.12504943,3.18012014,0.852287051608312,0.992674492037432
ACOAD7f ACSPHACP50 ASPCT CBPS DLMETR FDH GLU5K GLUR GTPDPK HACD20i HACD6i HCYSMT ICDHyr ACACT11 MAN6PI MCITD MDH ME2 METSOXR2 NFORGLUAH2 PC PGI PGK PHAP2C120 PPCK RECOAH15 RECOAH26 AGPOP ALATRS 3OXCOAT,30,0.12740581,3.17723307,0.882476709657118,0.980744921566289
ACS ACSPHAC141 CYTK1 DHMPTR DHORDfum DLYSPYRAT ECOAH26 GDBTALDH GDPMANNDH GLUDy HACD21i HEX1 HSK MACACI ME2 NFORGLUAH2 NTPP2 PGI PGK PHADPCP60 PHAPC50 PHAPC70 PRMICI_copy1 RHACOAEP100 SUCOAS ALATA_L ALCDpp BDH ECOAH1 3OXCOAT,30,0.1320563,3.17153518,0.588926616905062,1.06528297717186
