Cycle,R2_train,R2_test,MAE,max(AE),learn_weight,optimization_weigth,Suggested_Designs,Best_Predicted_Design,bcpy,Score_Improvement,Time (min)
1,0.8057083054114975,0.2237087928621659,0.0087539418729404,0.2402276055470181,1,0,1200,DHQTi_copy2-HPYRRx-H2CO3D2-SSALy-ACS-PDHa-DHAD1_copy2-AKGDH-IDPh_1-TALA-ICL-H2CO3D-HSK-GLUDxi-HPYRI-FRDO6r,0.2947270620662652,0.0005603445227578,11.964458413918813
2,0.9716203762408177,0.7658886206896808,0.0051264460203754,0.2783223753611169,1,0,2400,PTRCTA2-G6PDH2r-DHQTi_copy2-H2CO3D2-SSALy-ACS-PDHa-DHAD1_copy2-AROH-AKGDH-ICL-PSCVT_copy1-HSK-HPYRI-G5SD_copy1,0.294166717543502,-0.0005603445227631,15.943313185373942
3,0.9822884689413772,0.8913704459574152,0.0049255934978242,0.2728026136755943,0,1,100,PTRCTA2-SSALy-GLYCTO1-ACS-ILEDHr_1-LLEUDr-FE3DCITR-AKGDH-IDPh_1-TALA-ICL-ALDD1-AGPOP-PRAIi_copy2-PSCVT_copy2-MALS-TRPS1_copy2-ALLTN-URIH-HPYRI-PRASCSi_copy2-GLNS_copy2,0.2947221673741719,-4.894692093249109e-06,29.060051786899567
4,0.9775404624619074,0.8040829927611706,0.004980654394771251,0.2836487504365924,0,1,100,PTRCTA2-DHSKDH-GLUDy-ILEDHr_1-ALATRS-LLEUDr-TRPS1_copy1-AKGDH-TALA-ICL-PSCVT_copy1-OXOADLR-ADK1-PHETHPTOX3-CBPS,0.2947270620662671,1.887379141862766e-15,24.96071762641271
